Test ID,Test Suite,Test Name,Description,Pre-conditions,Test Steps,Input Data,Expected Result,Expected Status,Priority
TC-015,Record Building,Missing ID number tolerated,Verifies records are built when legal id number is absent,Owner and partner have no legal id number,"1. Provide owner without legal id | 2. Trigger build | 3. Inspect record","buisnesspartnerlegalidnumber=null","The record is still built with IdNumber__c empty and no error is raised",N/A,High
TC-016,Lookups,Conditional Building lookup when building exists,Verifies Building__r relationship is set only when buildingCode is present,Registration includes a buildingCode,"1. Build record with buildingCode 7976 | 2. Inspect record","buildingCode=7976","Record contains Building__r with BuildingCode__c=7976 linking it to building and project",N/A,Medium
TC-017,Lookups,No Building lookup when building absent,Verifies the building reference is omitted when buildingCode is null,Registration has no buildingCode,"1. Build record with null buildingCode | 2. Inspect record","buildingCode=null","Record omits BuildingCode__c and Building__r and is linked at project level only",N/A,Medium
TC-018,Lookups,Project lookup by external code,Verifies Project__c is written as an external-id relationship,Registration includes a project_code,"1. Build record with project_code PRJ-1024 | 2. Inspect record","project_code=PRJ-1024","Record contains Project__r with Project_Code__c=PRJ-1024 and Project__c is not written directly",N/A,High
TC-019,Salesforce Upsert,Upsert new records by external key,Verifies new LandOwner__c records are created via upsert,Salesforce reachable; records do not yet exist,"1. Run with new records | 2. Query Salesforce by External_Key__c","External_Key__c=55021","Salesforce upsert on LandOwner__c using External_Key__c creates the records and upsertCount reflects them",200,High
TC-020,Salesforce Upsert,Idempotent re-run updates not duplicates,Verifies a second run with the same data updates existing records,A prior run created the records,"1. Run sync twice with identical data | 2. Count records by External_Key__c","External_Key__c=55021 (run twice)","The second run updates the existing record and no duplicate is created",200,High
TC-021,Salesforce Upsert,Batch chunking respects batchSize,Verifies records are upserted in chunks of the configured batch size,More records than one batch,"1. Provide 450 records with batchSize 200 | 2. Trigger upsert | 3. Inspect upsert calls","salesforce.batchSize=200; records=450","Records are chunked into batches of 200 (200/200/50) and all are upserted",200,Medium
TC-022,Error Handling,Rainbow connectivity retried then continues,Verifies a Rainbow connectivity error retries and the run continues with next registration,Rainbow returns connection errors for one registration,"1. Force CONNECTIVITY on registrationKey 818 | 2. Trigger run | 3. Inspect logs","error=HTTP:CONNECTIVITY; retries=3","The call retries up to 3 times then logs WARN Rainbow fetch failed registrationKey=818 and processing continues with the next registration",N/A,High
TC-023,Error Handling,Rainbow timeout handled,Verifies a Rainbow timeout is retried and does not abort the run,Rainbow delays beyond rainbow.timeout.ms,"1. Force timeout on one registration | 2. Trigger run | 3. Inspect logs","error=HTTP:TIMEOUT; rainbow.timeout.ms=30000","The timeout is retried then logged as WARN and the overall run completes for remaining registrations",N/A,Medium
TC-024,Error Handling,Salesforce connectivity aborts run,Verifies a Salesforce connectivity error propagates and fails the run,Salesforce unreachable,"1. Make Salesforce unreachable | 2. Trigger run | 3. Inspect logs","error=SALESFORCE:CONNECTIVITY","The error is propagated by the global handler the run is marked failed and logged at ERROR with correlationId",N/A,High
TC-025,Error Handling,Per-record upsert failure logged and others committed,Verifies an item-level upsert failure is logged while valid records still commit,One record violates a Salesforce field rule,"1. Include one invalid record among valid ones | 2. Trigger upsert | 3. Inspect logs and Salesforce","invalid record externalKey=BAD1; valid records=5","The invalid record is logged WARN Upsert failed externalKey=BAD1 and the 5 valid records are committed",N/A,High
TC-026,Error Handling,Uncaught error logged by default handler,Verifies any uncaught error is logged at ERROR with correlationId,A processor throws an unexpected error,"1. Inject an unexpected error | 2. Trigger run | 3. Inspect logs","error=ANY","The global default error handler logs the full error and correlationId at ERROR level",N/A,Medium
TC-027,Health Endpoint,Health check returns OK,Verifies the local health listener responds,App running on the configured http.port,"1. Send GET http://localhost:8081/health | 2. Inspect response","method=GET; path=/health; port=8081","The endpoint returns HTTP 200 with body OK",200,Low
TC-028,Configuration,Secure properties resolve at startup,Verifies secure credentials are read from secure config and not hardcoded,secure-config.yaml configured with valid encrypted values,"1. Start app with secure properties key | 2. Inspect startup","rainbow.password=secure; salesforce.password=secure; salesforce.securityToken=secure","The app starts resolving secure placeholders and no secret is logged in plain text",N/A,Medium
TC-029,Configuration,Missing credentials surface clearly,Verifies a clear failure when CHANGE_ME placeholders are left unset,config left with CHANGE_ME values,"1. Start app with CHANGE_ME credentials | 2. Attempt a run | 3. Inspect error","rainbow.username=CHANGE_ME; salesforce.username=CHANGE_ME","Authentication to Rainbow or Salesforce fails and the error is logged clearly",401,Low
TC-030,Run Summary,End log reports accurate counts,Verifies the closing log line reports upserted deleted and skipped counts,A run with a mix of new expired and empty-owner registrations,"1. Trigger a mixed run | 2. Inspect the END log line","registrations=5; one expired; one zero-owner","END landowner-sync reports upserted deleted and skipped counts matching the processed data",N/A,Medium
